"REF_DATE","GEO","DGUID","Type of materials diverted","Sources of materials prepared for recycling","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Prince Edward Island","2016A000211","Organics","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315223","3.14.3","4329","","","","0"
"2018","Prince Edward Island","2016A000211","Other materials","All sources of diverted materials","Tonnes","287","units","0","v1248315224","3.15.1","335","","","","0"
"2018","Prince Edward Island","2016A000211","Other materials","Residential sources of diverted materials","Tonnes","287","units","0","v1248315225","3.15.2","127","","","","0"
"2018","Prince Edward Island","2016A000211","Other materials","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315226","3.15.3","208","","","","0"
"2018","Nova Scotia","2016A000212","All materials diverted","All sources of diverted materials","Tonnes","287","units","0","v1248315227","4.1.1","316688","","","","0"
"2018","Nova Scotia","2016A000212","All materials diverted","Residential sources of diverted materials","Tonnes","287","units","0","v1248315228","4.1.2","","..","","","0"
"2018","Nova Scotia","2016A000212","All materials diverted","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315229","4.1.3","","..","","","0"
"2018","Nova Scotia","2016A000212","All paper fibres","All sources of diverted materials","Tonnes","287","units","0","v1248315230","4.2.1","73462","","","","0"
"2018","Nova Scotia","2016A000212","All paper fibres","Residential sources of diverted materials","Tonnes","287","units","0","v1248315231","4.2.2","39869","","","","0"
"2018","Nova Scotia","2016A000212","All paper fibres","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315232","4.2.3","33593","","","","0"
"2018","Nova Scotia","2016A000212","Glass","All sources of diverted materials","Tonnes","287","units","0","v1248315233","4.3.1","4184","","","","0"
"2018","Nova Scotia","2016A000212","Glass","Residential sources of diverted materials","Tonnes","287","units","0","v1248315234","4.3.2","","x","","","0"
"2018","Nova Scotia","2016A000212","Glass","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315235","4.3.3","","x","","","0"
"2018","Nova Scotia","2016A000212","Ferrous metals","All sources of diverted materials","Tonnes","287","units","0","v1248315236","4.4.1","5536","","","","0"
"2018","Nova Scotia","2016A000212","Ferrous metals","Residential sources of diverted materials","Tonnes","287","units","0","v1248315237","4.4.2","5128","","","","0"
"2018","Nova Scotia","2016A000212","Ferrous metals","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315238","4.4.3","408","","","","0"
"2018","Nova Scotia","2016A000212","Copper and aluminum","All sources of diverted materials","Tonnes","287","units","0","v1248315239","4.5.1","455","","","","0"
"2018","Nova Scotia","2016A000212","Copper and aluminum","Residential sources of diverted materials","Tonnes","287","units","0","v1248315240","4.5.2","424","","","","0"
"2018","Nova Scotia","2016A000212","Copper and aluminum","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315241","4.5.3","31","","","","0"
"2018","Nova Scotia","2016A000212","Mixed metals","All sources of diverted materials","Tonnes","287","units","0","v1248315242","4.6.1","","x","","","0"
"2018","Nova Scotia","2016A000212","Mixed metals","Residential sources of diverted materials","Tonnes","287","units","0","v1248315243","4.6.2","","x","","","0"
"2018","Nova Scotia","2016A000212","Mixed metals","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315244","4.6.3","","x","","","0"
"2018","Nova Scotia","2016A000212","White goods","All sources of diverted materials","Tonnes","287","units","0","v1248315245","4.7.1","1096","","","","0"
"2018","Nova Scotia","2016A000212","White goods","Residential sources of diverted materials","Tonnes","287","units","0","v1248315246","4.7.2","","x","","","0"
"2018","Nova Scotia","2016A000212","White goods","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315247","4.7.3","","x","","","0"
"2018","Nova Scotia","2016A000212","Electronics","All sources of diverted materials","Tonnes","287","units","0","v1248315248","4.8.1","3169","","","","0"
"2018","Nova Scotia","2016A000212","Electronics","Residential sources of diverted materials","Tonnes","287","units","0","v1248315249","4.8.2","","..","","","0"
"2018","Nova Scotia","2016A000212","Electronics","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315250","4.8.3","","..","","","0"
"2018","Nova Scotia","2016A000212","Plastics","All sources of diverted materials","Tonnes","287","units","0","v1248315251","4.9.1","15021","","","","0"
"2018","Nova Scotia","2016A000212","Plastics","Residential sources of diverted materials","Tonnes","287","units","0","v1248315252","4.9.2","10725","","","","0"
"2018","Nova Scotia","2016A000212","Plastics","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315253","4.9.3","4296","","","","0"
"2018","Nova Scotia","2016A000212","Gable top and aseptic containers","All sources of diverted materials","Tonnes","287","units","0","v1248315254","4.10.1","1054","","","","0"
"2018","Nova Scotia","2016A000212","Gable top and aseptic containers","Residential sources of diverted materials","Tonnes","287","units","0","v1248315255","4.10.2","972","","","","0"
"2018","Nova Scotia","2016A000212","Gable top and aseptic containers","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315256","4.10.3","82","","","","0"
"2018","Nova Scotia","2016A000212","Textiles","All sources of diverted materials","Tonnes","287","units","0","v1248315257","4.11.1","","x","","","0"
"2018","Nova Scotia","2016A000212","Textiles","Residential sources of diverted materials","Tonnes","287","units","0","v1248315258","4.11.2","","x","","","0"
"2018","Nova Scotia","2016A000212","Textiles","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315259","4.11.3","","x","","","0"
"2018","Nova Scotia","2016A000212","Tires","All sources of diverted materials","Tonnes","287","units","0","v1248315260","4.12.1","14272","","","","0"
"2018","Nova Scotia","2016A000212","Tires","Residential sources of diverted materials","Tonnes","287","units","0","v1248315261","4.12.2","","..","","","0"
"2018","Nova Scotia","2016A000212","Tires","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315262","4.12.3","","..","","","0"
"2018","Nova Scotia","2016A000212","Construction, renovation and demolition","All sources of diverted materials","Tonnes","287","units","0","v1248315263","4.13.1","49594","","","","0"
"2018","Nova Scotia","2016A000212","Construction, renovation and demolition","Residential sources of diverted materials","Tonnes","287","units","0","v1248315264","4.13.2","5256","","","","0"
"2018","Nova Scotia","2016A000212","Construction, renovation and demolition","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315265","4.13.3","44339","","","","0"
"2018","Nova Scotia","2016A000212","Organics","All sources of diverted materials","Tonnes","287","units","0","v1248315266","4.14.1","148348","","","","0"
"2018","Nova Scotia","2016A000212","Organics","Residential sources of diverted materials","Tonnes","287","units","0","v1248315267","4.14.2","97195","","","","0"
"2018","Nova Scotia","2016A000212","Organics","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315268","4.14.3","51153","","","","0"
"2018","Nova Scotia","2016A000212","Other materials","All sources of diverted materials","Tonnes","287","units","0","v1248315269","4.15.1","","x","","","0"
"2018","Nova Scotia","2016A000212","Other materials","Residential sources of diverted materials","Tonnes","287","units","0","v1248315270","4.15.2","","x","","","0"
"2018","Nova Scotia","2016A000212","Other materials","Non-residential sources of diverted materials","Tonnes","287","units","0","v1248315271","4.15.3","","x","","","0"
"2018","New Brunswick","2016A000213","All materials diverted","All sources of diverted materials","Tonnes","287","units","0","v1248315272","5.1.1","163740","","","","0"
"2018","New Brunswick","2016A000213","All materials diverted","Residential sources of diverted materials","Tonnes","287","units","0","v1248315273","5.1.2","","..","","","0"
